Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,G+A,Glsxx,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShotDistance,FKShots,PK,PKsAtt,xG,npxG,npxG/Sh,G-xG,npG-xG,PassesCompleted,PassesAttempted,TotCmp%,TotalPassDist,ProgPassDist,ShortPassCmp,ShortPassAtt,ShortPassCmp%,MedPassCmp,MedPassAtt,MedPassCmp%,LongPassCmp,LongPassAtt,LongPassCmp%,Assists,xAG,xA,A-xAG,KeyPasses,Final1/3Cmp,PenAreaCmp,CrsPenAreaCmp,ProgPasses,LivePass,DeadPass,FKPasses,ThruBalls,Switches,Crs,ThrowIn,CK,InSwingCK,OutSwingCK,StrCK,Cmpxxx,PassesToOff,PassesBlocked,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,Tkl,TklWinPoss,Def3rdTkl,Mid3rdTkl,Att3rdTkl,DrbTkl,DrbPastAtt,DrbTkl%,DrbPast,Blocks,ShBlocks,PassBlocks,Int,Tkl+Int,Clr,Err,Touches,DefPenTouch,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,LiveTouch,AttDrb,SuccDrb,DrbSucc%,TimesTackled,TimesTackled%,Carries,TotalCarryDistance,ProgCarryDistance,ProgCarries,CarriesToFinalThird,CarriesToPenArea,CarryMistakes,Disposesed,ReceivedPass,ProgPassesRec,Yellows,Reds,Yellow2,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKsFaced,PKA,PKsv,PKm,Save%,PKGA,FKGA,CKGA,OGA,PSxG,PSxG/SoT,PSxG+/-,PSxG+/- /90,LaunchCmp,LaunchAtt,LaunchPassCmp%,Att (GK),PassThr,PassesLaunch%,AvgLenLaunch,GoalKicksAtt,GoalKicksLaunch%,AvgLen,OppCrs,StpCrs,CrsStp%,#OPA,#OPA/90,AvgDistOPA
Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32,1990,31,31,2790,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,773,1035,74.7,20175,14006,146,146,100.0,392,398,98.5,231,487,47.4,0,0.3,0.2,-0.3,1,9,1,0,1,770,265,69,1,0,0,0,0,0,0,0,773,0,0,3,0.1,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,16,0,1110,928,1093,17,0,0,1110,0,0,0.0,0,0.0,784,4447,2904,1,0,0,0,0,510,0,0,0,0,1,6,0,0,1,0,33,5,0,100.0,49.0,1.58,155.0,106.0,71.0,16.0,4.0,11.0,9.0,29.0,6.0,4.0,1.0,1.0,20.0,4.0,1.0,7.0,1.0,43.5,0.25,-4.5,-0.15,132.0,362.0,36.5,839.0,156.0,34.1,32.4,196.0,38.8,34.1,438.0,36.0,8.2,28.0,0.9,12.4
Antonio Mirante,it ITA,GK,Milan,it Serie A,40,1983,2,2,177,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,41,54,75.9,990,673,7,7,100.0,26,26,100.0,8,21,38.1,0,0.0,0.0,0.0,0,0,0,0,0,45,9,1,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,59,48,57,2,0,0,59,0,0,0.0,0,0.0,33,128,84,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0,3.0,1.53,8.0,5.0,62.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0.41,0.1,0.05,5.0,14.0,35.7,46.0,5.0,26.1,29.2,8.0,25.0,29.4,17.0,1.0,5.9,1.0,0.51,11.9
Antonio Sivera,es ESP,GK,Alavés,es La Liga,26,1996,34,34,3060,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,651,1105,58.9,23568,18918,107,107,100.0,205,208,98.6,336,784,42.9,0,0.1,0.1,-0.1,4,41,2,0,0,653,449,154,0,8,0,0,0,0,0,0,651,3,0,15,0.44,9,6,0,0,0,0,1,0.03,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,17,1,1185,922,1157,28,0,0,1185,0,0,0.0,0,0.0,520,3386,2069,0,0,0,3,0,383,0,3,0,0,0,2,0,0,0,0,23,7,1,87.5,38.0,1.12,123.0,87.0,75.6,11.0,8.0,15.0,10.0,29.4,8.0,8.0,0.0,0.0,0.0,8.0,0.0,3.0,2.0,38.4,0.25,2.4,0.07,279.0,701.0,39.8,807.0,116.0,62.3,44.6,295.0,67.1,47.8,501.0,25.0,5.0,29.0,0.85,13.1
Arijanet Muric,xk KVX,GK,Burnley,eng Premier League,24,1998,10,10,900,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,404,585,69.1,11273,8376,67,68,98.5,196,207,94.7,140,302,46.4,0,0.2,0.1,-0.2,4,16,1,0,1,495,85,52,0,4,0,0,0,0,0,0,404,5,0,6,0.6,5,1,0,0,0,0,1,0.1,1,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,10,4,635,361,573,62,0,0,635,0,0,0.0,0,0.0,418,2331,1453,0,0,0,0,0,392,0,0,0,0,0,3,0,0,0,1,21,3,0,100.0,16.0,1.6,78.0,62.0,80.8,2.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,1.0,0.0,1.0,1.0,21.7,0.26,6.7,0.67,77.0,219.0,35.2,547.0,54.0,36.4,34.3,33.0,60.6,45.1,143.0,20.0,14.0,31.0,3.1,17.2
Arnau Tenas,es ESP,GK,Paris S-G,fr Ligue 1,22,2001,6,5,529,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,173,211,82.0,4055,2464,36,36,100.0,100,100,100.0,37,75,49.3,1,0.8,0.2,0.2,1,4,0,0,0,169,42,5,1,0,0,0,0,0,0,0,173,0,0,1,0.17,1,0,0,0,0,0,1,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,220,199,218,2,0,0,220,0,0,0.0,0,0.0,168,710,397,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0,7.0,1.19,25.0,18.0,72.0,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.24,-1.0,-0.17,14.0,46.0,30.4,174.0,19.0,23.0,29.6,37.0,16.2,27.1,71.0,2.0,2.8,5.0,0.85,14.8
Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,29,1994,33,33,2970,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,611,945,64.7,17763,13674,112,112,100.0,258,261,98.9,230,555,41.4,0,0.4,0.1,-0.4,1,15,1,0,0,617,324,102,0,0,0,0,0,0,0,0,611,4,2,4,0.12,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,13,1,1020,830,1014,6,0,0,1020,0,0,0.0,0,0.0,644,3883,2466,0,0,0,1,0,376,0,2,0,0,0,9,0,0,0,0,25,7,0,100.0,43.0,1.3,153.0,111.0,72.5,7.0,11.0,15.0,7.0,21.2,3.0,1.0,1.0,1.0,50.0,1.0,0.0,5.0,2.0,47.0,0.3,6.0,0.18,155.0,454.0,34.1,719.0,135.0,46.9,37.1,222.0,52.7,39.1,470.0,32.0,6.8,24.0,0.73,12.5
Augusto Batalla,ar ARG,GK,Granada,es La Liga,27,1996,17,17,1530,0,0.0,0,1,0,0.0,0.06,0.0,0.0,0.0,13.5,0,0,0,0.0,0.0,0.02,0.0,0.0,445,689,64.6,14317,11262,73,73,100.0,196,198,99.0,176,416,42.3,0,0.0,0.1,0.0,1,26,0,0,1,483,205,83,0,1,0,0,0,0,0,0,445,1,1,6,0.35,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,2,734,581,719,14,2,2,734,3,3,100.0,0,0.0,408,2194,1348,0,0,0,1,0,301,1,3,0,0,0,2,0,0,0,0,28,3,0,100.0,28.0,1.65,86.0,58.0,67.4,3.0,4.0,10.0,3.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,22.6,0.27,-5.4,-0.32,127.0,354.0,35.9,566.0,78.0,45.8,39.4,122.0,77.9,55.9,275.0,23.0,8.4,18.0,1.06,14.2
Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,20,2002,21,21,1890,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,753,862,87.4,14982,10381,304,307,99.0,309,315,98.1,129,226,57.1,0,0.0,0.0,0.0,0,3,0,0,3,771,90,17,0,0,0,1,0,0,0,0,753,1,1,3,0.14,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,3,906,779,897,9,0,0,906,1,1,100.0,0,0.0,672,2520,1279,0,0,0,0,0,580,0,3,0,0,1,2,0,0,0,0,33,5,0,100.0,28.0,1.33,91.0,63.0,72.5,7.0,8.0,6.0,4.0,19.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,25.4,0.25,-2.6,-0.12,55.0,142.0,38.7,789.0,117.0,17.1,24.4,72.0,9.7,15.7,232.0,17.0,7.3,31.0,1.48,15.8
Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,32,1991,30,30,2700,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,670,1006,66.6,19197,14917,102,104,98.1,303,312,97.1,260,580,44.8,1,0.5,0.1,0.5,2,10,0,0,0,669,333,112,0,2,0,0,0,0,0,0,670,4,1,8,0.27,6,2,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,16,1,1082,846,1067,16,0,0,1082,0,0,0.0,0,0.0,699,4248,2923,0,0,0,0,0,467,0,1,0,0,0,2,0,0,0,1,14,6,0,100.0,37.0,1.23,137.0,102.0,75.9,9.0,11.0,10.0,10.0,33.3,5.0,4.0,1.0,0.0,20.0,4.0,2.0,3.0,3.0,36.8,0.24,2.8,0.09,150.0,436.0,34.4,781.0,137.0,44.2,36.6,221.0,41.2,36.4,471.0,29.0,6.2,13.0,0.43,9.5
Benoît Costil,fr FRA,GK,Salernitana,it Serie A,36,1987,13,13,1170,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,258,428,60.3,7748,6197,48,49,98.0,109,111,98.2,101,267,37.8,0,0.0,0.0,0.0,1,4,0,0,0,273,154,50,0,0,1,0,0,0,0,0,258,1,0,4,0.31,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,5,1,463,394,454,9,0,0,463,0,0,0.0,0,0.0,223,1219,676,0,0,0,1,0,182,0,0,0,0,0,1,0,0,0,0,14,0,0,0.0,29.0,2.23,66.0,38.0,60.6,2.0,3.0,8.0,1.0,7.7,3.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,23.6,0.32,-4.4,-0.34,71.0,228.0,31.1,323.0,45.0,48.0,37.0,104.0,70.2,51.1,212.0,2.0,0.9,19.0,1.46,18.2
Bernd Leno,de GER,GK,Fulham,eng Premier League,31,1992,38,38,3420,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1250,1577,79.3,29886,18166,266,268,99.3,746,750,99.5,235,551,42.6,0,0.0,0.0,0.0,0,23,0,0,0,1281,292,91,0,2,0,0,0,0,0,0,1250,4,0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,14,1,1657,1275,1645,12,0,0,1657,0,0,0.0,0,0.0,1031,4482,2432,0,0,0,1,0,942,0,3,0,0,0,3,0,0,0,1,58,10,1,90.9,61.0,1.61,190.0,133.0,72.1,13.0,8.0,17.0,10.0,26.3,8.0,8.0,0.0,0.0,0.0,8.0,2.0,3.0,4.0,55.7,0.26,-1.3,-0.03,144.0,439.0,32.8,1372.0,167.0,23.7,28.5,201.0,56.7,44.7,472.0,19.0,4.0,40.0,1.05,14.2
Boris Radunović,rs SRB,GK,Cagliari,it Serie A,27,1996,7,7,630,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,169,222,76.1,5495,3933,24,24,100.0,68,70,97.1,77,128,60.2,0,0.0,0.0,0.0,0,9,0,0,0,139,83,17,0,0,0,0,0,0,0,0,169,0,0,1,0.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,2,238,202,237,1,0,0,238,0,0,0.0,0,0.0,113,608,366,0,0,0,1,0,86,0,0,0,0,0,2,0,0,0,0,6,1,1,50.0,12.0,1.71,27.0,16.0,55.6,0.0,2.0,5.0,2.0,28.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,10.1,0.38,-0.9,-0.13,41.0,91.0,45.1,156.0,31.0,35.9,37.0,66.0,53.0,43.8,98.0,6.0,6.1,4.0,0.57,11.2
Brice Samba,fr FRA,GK,Lens,fr Ligue 1,29,1994,33,33,2970,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,880,1122,78.4,23308,15854,172,172,100.0,404,411,98.3,289,519,55.7,0,0.2,0.2,-0.2,2,18,2,0,4,864,254,84,1,2,0,0,0,0,0,0,880,4,1,8,0.24,7,1,0,0,0,0,1,0.03,1,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,10,3,1194,917,1173,22,0,0,1194,0,0,0.0,0,0.0,861,4654,2662,0,0,0,2,0,600,0,3,0,0,1,3,0,0,1,1,38,4,0,100.0,35.0,1.06,136.0,101.0,78.7,14.0,8.0,11.0,14.0,42.4,8.0,6.0,1.0,1.0,14.3,6.0,0.0,6.0,1.0,42.3,0.27,8.3,0.25,163.0,369.0,44.2,948.0,143.0,31.8,31.5,170.0,40.0,33.5,388.0,32.0,8.2,39.0,1.18,14.8
Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,24,1998,10,10,900,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,359,442,81.2,8077,5323,101,101,100.0,196,198,99.0,62,140,44.3,0,0.0,0.0,0.0,1,9,0,0,1,401,38,10,0,0,0,0,0,0,0,0,359,3,0,2,0.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,1,457,269,446,11,0,0,457,0,0,0.0,0,0.0,367,1742,1077,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,13,4,0,100.0,11.0,1.1,38.0,28.0,71.1,8.0,2.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,11.3,0.3,1.3,0.13,32.0,102.0,31.4,411.0,52.0,22.4,27.3,28.0,35.7,34.9,77.0,5.0,6.5,13.0,1.3,17.0
Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,33,1990,1,0,45,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,14,21,66.7,349,231,2,2,100.0,8,9,88.9,4,10,40.0,0,0.0,0.0,0.0,0,0,0,0,0,19,2,2,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,23,22,23,0,0,0,23,0,0,0.0,0,0.0,17,61,26,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.18,0.5,1.06,2.0,5.0,40.0,21.0,1.0,23.8,31.4,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0
Christos Mandas,gr GRE,GK,Lazio,it Serie A,21,2001,9,8,721,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,181,269,67.3,5187,3842,33,33,100.0,82,85,96.5,66,151,43.7,0,0.0,0.0,0.0,0,3,0,0,0,220,49,20,0,0,0,0,0,0,0,0,181,0,0,1,0.12,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,1,286,237,282,4,0,0,286,2,2,100.0,0,0.0,174,939,498,0,0,0,0,0,163,0,0,0,0,0,1,0,0,0,0,10,2,0,100.0,6.0,0.75,29.0,23.0,79.3,6.0,1.0,1.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.25,1.0,0.12,38.0,114.0,33.3,240.0,29.0,42.5,37.7,29.0,41.4,37.9,99.0,6.0,6.1,5.0,0.62,13.1
Claudio Bravo,cl CHI,GK,Betis,es La Liga,40,1983,7,7,630,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,186,230,80.9,4988,3322,42,42,100.0,86,86,100.0,56,99,56.6,0,0.0,0.1,0.0,1,3,2,0,1,153,76,16,1,1,0,0,0,0,0,0,186,1,0,2,0.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,241,194,239,2,0,0,241,0,0,0.0,0,0.0,132,817,591,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,14,2,0,100.0,5.0,0.71,20.0,16.0,75.0,3.0,4.0,0.0,2.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,0.27,1.5,0.21,38.0,80.0,47.5,169.0,30.0,30.2,30.6,60.0,48.3,40.1,101.0,4.0,4.0,6.0,0.86,12.6
Cristian,es ESP,GK,Valencia,es La Liga,25,1998,1,0,57,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,13,18,72.2,294,213,3,3,100.0,8,8,100.0,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,0,13,5,2,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,20,16,20,0,0,0,20,0,0,0.0,0,0.0,8,35,32,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,1.0,1.58,3.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.17,-0.5,-0.75,2.0,5.0,40.0,15.0,4.0,26.7,29.1,3.0,33.3,32.7,12.0,0.0,0.0,0.0,0.0,8.3
Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,26,1997,1,1,90,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,26,40,65.0,566,402,7,7,100.0,16,16,100.0,3,17,17.6,0,0.0,0.0,0.0,0,1,0,0,0,33,7,3,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,41,32,41,0,0,0,41,0,0,0.0,0,0.0,24,139,79,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.93,-0.1,-0.07,2.0,15.0,13.3,36.0,5.0,36.1,36.3,4.0,50.0,53.5,5.0,0.0,0.0,2.0,2.0,17.0
Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,32,1991,4,4,360,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,104,153,68.0,2854,2094,18,19,94.7,53,55,96.4,33,79,41.8,0,0.0,0.0,0.0,0,5,0,0,0,120,33,12,0,0,0,0,0,0,0,0,104,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,166,124,162,4,0,0,166,0,0,0.0,0,0.0,84,433,265,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0,3.0,0.75,17.0,14.0,82.4,0.0,2.0,2.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4,0.15,-0.6,-0.15,18.0,58.0,31.0,132.0,14.0,38.6,34.7,21.0,33.3,34.8,38.0,4.0,10.5,2.0,0.5,11.3
Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30,1993,5,3,383,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,96,144,66.7,2347,1661,30,30,100.0,37,37,100.0,28,76,36.8,0,0.0,0.0,0.0,0,2,0,0,0,98,46,13,0,0,0,0,0,0,0,0,96,0,0,1,0.23,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,151,120,149,2,0,0,151,0,0,0.0,0,0.0,66,318,181,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0,7.0,1.64,15.0,8.0,53.3,1.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.39,-1.2,-0.28,13.0,56.0,23.2,111.0,9.0,36.0,33.8,33.0,48.5,36.9,50.0,0.0,0.0,3.0,0.7,13.3
Daniel Fuzato,br BRA,GK,Getafe,es La Liga,26,1997,1,0,7,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,10,50.0,185,140,0,0,0.0,1,1,100.0,4,9,44.4,0,0.0,0.0,0.0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,11,10,11,0,0,0,11,0,0,0.0,0,0.0,4,20,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,2.0,25.71,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,0.63,-0.7,-9.63,2.0,7.0,28.6,6.0,1.0,50.0,39.2,4.0,100.0,71.8,5.0,1.0,20.0,0.0,0.0,10.7
Daniel Peretz,il ISR,GK,Bayern Munich,de Bundesliga,23,2000,1,0,17,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,12,17,70.6,231,106,3,3,100.0,8,8,100.0,1,6,16.7,0,0.0,0.0,0.0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,17,12,17,0,0,0,17,0,0,0.0,0,0.0,11,31,24,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,3.0,26.7,33.1,2.0,0.0,16.5,2.0,0.0,0.0,0.0,0.0,0.0
Daniele Sommariva,it ITA,GK,Genoa,it Serie A,26,1997,1,0,5,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,0,0,0,0,0.0,0,0,0.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,4,0,0,0.0,0,0.0,2,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,100.0,54.5,1.0,100.0,76.0,2.0,1.0,50.0,0.0,0.0,15.0
David Gil,es ESP,GK,Cádiz,es La Liga,29,1994,5,4,372,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,78,152,51.3,3543,3208,4,4,100.0,18,18,100.0,55,129,42.6,0,0.0,0.0,0.0,0,1,0,0,0,74,78,30,0,0,0,0,0,0,0,0,78,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,166,133,164,2,0,0,166,0,0,0.0,0,0.0,71,454,282,0,0,0,0,0,40,0,1,0,0,0,2,0,0,0,0,2,4,0,100.0,8.0,1.94,24.0,17.0,66.7,0.0,3.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,0.26,-1.7,-0.4,51.0,125.0,40.8,104.0,8.0,76.9,49.3,48.0,93.8,63.5,91.0,7.0,7.7,0.0,0.0,7.0
