Squad,Comp,# Pl,Age,Poss,MP,Starts,Team Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,TeamTouches90,Opp Touches
Sassuolo,it Serie A,30,27.0,44.7,28,308,2520,28.0,32,21,53,26,6,7,52,3,30.4,25.2,20.1,45.3,493,966,1.14,0.75,1.89,0.93,1.68,1.09,0.72,525.5357142857143,17862
Sevilla,es La Liga,35,29.5,51.6,27,297,2430,27.0,31,20,51,30,1,1,74,4,28.5,27.7,20.3,48.0,443,1092,1.15,0.74,1.89,1.11,1.85,1.05,0.75,606.8518518518518,15859
Sheffield Utd,eng Premier League,33,26.6,35.7,28,308,2520,28.0,21,10,31,17,4,4,83,4,25.2,22.1,15.0,37.1,236,613,0.75,0.36,1.11,0.61,0.96,0.9,0.54,472.4285714285714,21255
Strasbourg,fr Ligue 1,29,24.9,42.7,25,275,2250,25.0,23,15,38,21,2,2,45,2,29.4,27.8,22.6,50.4,410,829,0.92,0.6,1.52,0.84,1.44,1.18,0.9,540.96,17049
Stuttgart,de Bundesliga,27,25.6,59.5,25,275,2250,25.0,57,44,101,52,5,8,40,1,52.2,45.9,37.7,83.6,522,1174,2.28,1.76,4.04,2.08,3.84,2.09,1.51,764.96,13836
Torino,it Serie A,28,27.0,51.4,28,308,2520,28.0,25,20,45,24,1,1,61,1,28.3,27.5,22.6,50.2,550,1010,0.89,0.71,1.61,0.86,1.57,1.01,0.81,574.7857142857143,15328
Tottenham,eng Premier League,28,25.8,60.8,27,297,2430,27.0,56,47,103,55,1,1,64,4,47.1,46.3,39.9,86.2,680,1483,2.07,1.74,3.81,2.04,3.78,1.74,1.48,750.7777777777778,14186
Toulouse,fr Ligue 1,26,24.5,48.4,25,275,2250,25.0,27,19,46,23,4,7,61,0,28.5,23.0,18.2,41.2,389,1034,1.08,0.76,1.84,0.92,1.68,1.14,0.73,591.08,15525
Udinese,it Serie A,32,26.5,40.3,27,297,2430,27.0,25,17,42,23,2,3,66,4,28.7,26.8,20.7,47.5,463,775,0.93,0.63,1.56,0.85,1.48,1.06,0.77,480.037037037037,17307
Union Berlin,de Bundesliga,30,28.9,43.1,25,275,2250,25.0,23,16,39,21,2,3,48,6,28.3,25.9,17.7,43.6,274,836,0.92,0.64,1.56,0.84,1.48,1.13,0.71,558.68,17601
Valencia,es La Liga,26,24.8,44.0,27,297,2430,27.0,32,23,55,28,4,5,52,4,28.4,24.5,18.6,43.1,363,816,1.19,0.85,2.04,1.04,1.89,1.05,0.69,533.6666666666666,17676
Villarreal,es La Liga,32,28.6,50.3,28,308,2520,28.0,45,32,77,41,4,4,80,5,39.9,36.8,29.4,66.1,460,1109,1.61,1.14,2.75,1.46,2.61,1.43,1.05,596.8214285714286,16585
Werder Bremen,de Bundesliga,28,27.8,47.2,25,275,2250,25.0,32,24,56,29,3,4,55,0,34.0,30.7,26.5,57.1,360,869,1.28,0.96,2.24,1.16,2.12,1.36,1.06,601.88,16480
West Ham,eng Premier League,24,28.8,41.8,28,308,2520,28.0,44,31,75,41,3,4,67,3,39.0,35.8,25.1,60.9,414,902,1.57,1.11,2.68,1.46,2.57,1.39,0.9,557.8928571428571,20426
Wolfsburg,de Bundesliga,27,26.2,46.7,25,275,2250,25.0,30,19,49,28,2,3,65,3,29.6,27.1,20.7,47.8,309,902,1.2,0.76,1.96,1.12,1.88,1.18,0.83,589.68,16583
Wolves,eng Premier League,25,27.4,47.9,28,308,2520,28.0,39,32,71,36,3,3,70,3,37.6,35.2,26.6,61.8,530,913,1.39,1.14,2.54,1.29,2.43,1.34,0.95,609.8571428571429,18260
